Cas	He	Hs	Te	Ts	Diam_WR	WRyoung	offset ini	mu_ini	Force	G
1	11.712	8.034	10.669	15.796	796.363	216000.000	181.105	0.224	1191.460	7.500
1	11.718	8.035	11.998	16.356	796.363	216000.000	181.388	0.227	1193.680	7.500
1	11.714	8.042	14.368	16.608	796.363	216000.000	182.758	0.230	1196.480	7.400
1	11.711	8.038	16.058	16.433	796.363	216000.000	179.420	0.243	1192.280	7.500
1	11.714	8.041	17.332	16.308	796.363	216000.000	180.346	0.242	1190.850	7.400
1	11.688	8.042	17.354	15.910	796.363	216000.000	182.121	0.238	1193.040	7.300
1	11.678	8.048	16.271	15.317	796.363	216000.000	180.532	0.245	1195.920	7.400
1	11.646	8.055	14.585	15.082	796.363	216000.000	181.530	0.243	1199.510	7.400
1	11.651	8.049	13.334	14.851	796.363	216000.000	180.848	0.237	1192.270	7.400
1	11.653	8.047	13.559	15.381	796.363	216000.000	179.165	0.244	1190.040	7.500
1	11.661	8.044	13.822	16.517	796.363	216000.000	179.908	0.240	1187.490	7.500
1	11.703	8.050	13.400	16.636	796.363	216000.000	182.954	0.228	1194.340	7.400
1	11.731	8.054	12.260	15.825	796.363	216000.000	185.445	0.218	1202.190	7.300
1	11.746	8.068	11.518	16.304	796.363	216000.000	182.505	0.234	1215.790	7.600
1	11.760	8.087	11.643	16.442	796.363	216000.000	186.040	0.228	1227.930	7.500
1	11.750	8.108	12.652	16.415	796.363	216000.000	182.416	0.251	1234.890	7.700
1	11.741	8.108	12.708	16.581	796.363	216000.000	186.135	0.237	1231.720	7.500
1	11.714	8.091	13.242	17.309	796.363	216000.000	186.850	0.230	1217.900	7.400
1	11.673	8.063	14.445	17.512	796.363	216000.000	184.158	0.234	1199.590	7.400
1	11.653	8.033	15.678	17.561	796.363	216000.000	182.072	0.229	1173.670	7.300
1	11.652	8.016	16.319	17.361	796.363	216000.000	179.363	0.231	1157.550	7.300
1	11.638	8.008	15.725	17.064	796.363	216000.000	178.450	0.229	1151.160	7.300
1	11.640	8.018	14.817	15.667	796.363	216000.000	178.048	0.231	1156.270	7.300
1	11.634	8.018	13.829	15.151	796.363	216000.000	181.373	0.217	1154.880	7.100
1	11.666	8.023	13.280	14.904	796.363	216000.000	179.566	0.220	1155.780	7.200
1	11.699	8.034	13.265	15.571	796.363	216000.000	179.596	0.223	1164.480	7.300
1	11.717	8.045	12.771	16.267	796.363	216000.000	180.002	0.225	1173.800	7.400
1	11.724	8.039	11.983	15.857	796.363	216000.000	181.296	0.216	1170.800	7.300
1	11.723	8.031	12.722	15.669	796.363	216000.000	181.669	0.212	1164.670	7.200
1	11.693	8.029	14.316	15.565	796.363	216000.000	180.669	0.220	1162.630	7.200
1	11.679	8.038	15.454	15.283	796.363	216000.000	180.609	0.227	1167.700	7.200
1	11.661	8.034	16.153	14.978	796.363	216000.000	179.214	0.232	1161.850	7.200
1	11.663	8.018	15.375	14.663	796.363	216000.000	177.585	0.228	1150.190	7.200
1	11.637	8.021	15.120	14.909	796.363	216000.000	179.655	0.222	1148.750	7.100
1	11.648	8.024	14.987	14.750	796.363	216000.000	180.936	0.215	1146.420	7.000
1	11.658	8.033	14.448	14.721	796.363	216000.000	178.405	0.226	1152.820	7.200
1	11.678	8.026	13.963	14.902	796.363	216000.000	177.922	0.222	1146.680	7.200
1	11.675	8.022	13.722	16.068	796.363	216000.000	176.933	0.224	1142.250	7.300
1	11.690	8.025	13.493	17.107	796.363	216000.000	180.254	0.213	1144.850	7.200
1	11.679	8.041	13.200	17.238	796.363	216000.000	182.170	0.214	1156.240	7.200
1	11.702	8.055	13.227	16.844	796.363	216000.000	180.538	0.222	1161.390	7.300
1	11.713	8.053	13.693	16.993	796.363	216000.000	180.698	0.222	1163.130	7.300
1	11.710	8.078	14.748	16.928	796.363	216000.000	183.261	0.222	1172.740	7.200
1	11.697	8.092	15.447	16.692	796.363	216000.000	184.668	0.222	1173.520	7.100
1	11.705	8.074	15.994	16.628	796.363	216000.000	183.031	0.221	1164.460	7.100
1	11.691	8.064	16.154	16.928	796.363	216000.000	182.483	0.221	1158.350	7.100
1	11.697	8.053	15.290	16.388	796.363	216000.000	180.052	0.224	1155.280	7.200
1	11.707	8.061	13.715	16.052	796.363	216000.000	182.224	0.213	1155.860	7.100
1	11.727	8.061	11.944	15.975	796.363	216000.000	183.204	0.206	1158.370	7.100
1	11.730	8.064	10.948	15.986	796.363	216000.000	184.039	0.203	1161.040	7.100
1	11.724	8.076	11.702	16.785	796.363	216000.000	181.469	0.217	1164.070	7.300
1	11.711	8.073	13.070	17.589	796.363	216000.000	181.328	0.220	1161.000	7.300
1	11.703	8.071	14.571	18.012	796.363	216000.000	184.722	0.213	1160.910	7.100
1	11.700	8.079	15.394	17.373	796.363	216000.000	183.686	0.218	1161.170	7.100
1	11.674	8.080	16.612	16.504	796.363	216000.000	181.992	0.227	1159.130	7.100
1	11.678	8.072	16.852	15.338	796.363	216000.000	180.306	0.230	1156.880	7.100
1	11.674	8.078	15.687	14.787	796.363	216000.000	180.229	0.229	1156.950	7.100
1	11.667	8.071	14.034	14.928	796.363	216000.000	180.846	0.222	1154.730	7.100
1	11.676	8.067	13.043	15.040	796.363	216000.000	181.085	0.217	1152.580	7.100
1	11.701	8.057	12.784	14.980	796.363	216000.000	178.834	0.219	1149.680	7.200
1	11.730	8.061	12.776	15.560	796.363	216000.000	180.176	0.216	1155.390	7.200
1	11.756	8.076	13.011	15.752	796.363	216000.000	181.320	0.216	1163.650	7.200
1	11.755	8.078	12.934	15.963	796.363	216000.000	181.840	0.215	1165.440	7.200
1	11.769	8.083	13.462	15.783	796.363	216000.000	183.558	0.211	1168.650	7.100
1	11.771	8.090	14.543	15.694	796.363	216000.000	179.732	0.228	1171.090	7.300
1	11.770	8.097	14.660	15.665	796.363	216000.000	181.912	0.223	1174.420	7.200
1	11.758	8.109	14.748	15.780	796.363	216000.000	182.169	0.226	1175.470	7.200
1	11.752	8.104	15.384	16.323	796.363	216000.000	182.227	0.226	1173.680	7.200
1	11.727	8.111	15.784	16.448	796.363	216000.000	180.523	0.237	1174.500	7.300
1	11.728	8.118	16.711	16.874	796.363	216000.000	182.783	0.233	1177.070	7.200
1	11.751	8.133	16.907	16.739	796.363	216000.000	183.683	0.234	1185.890	7.200
1	11.770	8.144	15.657	15.819	796.363	216000.000	186.603	0.225	1197.000	7.100
1	11.758	8.153	14.228	15.238	796.363	216000.000	186.224	0.230	1207.600	7.200
