case	Errors	OffsetYield	Friction	Rolling_Torque	Sigma_Moy	Sigma_Ini	Sigma_Out	Sigma_Max	Force_Error(%)	Slip_Error(%)	Has_Converged
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	INPUTS	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	--
1	VOID	1.713115e+02	3.763256e-01	4.492078e+04	1.713115e+02	1.713115e+02	1.713115e+02	1.713115e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.697974e+02	3.994830e-01	4.589755e+04	1.697974e+02	1.697974e+02	1.697974e+02	1.697974e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.637433e+02	4.960056e-01	4.581622e+04	1.637433e+02	1.637433e+02	1.637433e+02	1.637433e+02	-5.413347e-06	0.000000e+00	YES
1	VOID	1.739468e+02	3.406553e-01	4.515679e+04	1.739468e+02	1.739468e+02	1.739468e+02	1.739468e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.727060e+02	3.390000e-01	4.971257e+04	1.727060e+02	1.727060e+02	1.727060e+02	1.727060e+02	-4.983284e-05	-1.644779e-05	YES
1	VOID	1.727023e+02	3.440681e-01	4.549869e+04	1.727023e+02	1.727023e+02	1.727023e+02	1.727023e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.760920e+02	3.240000e-01	5.036690e+04	1.760920e+02	1.760920e+02	1.760920e+02	1.760920e+02	-6.103216e-05	-2.814061e-05	YES
1	VOID	1.730960e+02	3.362849e-01	4.461134e+04	1.730960e+02	1.730960e+02	1.730960e+02	1.730960e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.739150e+02	3.260000e-01	4.977870e+04	1.739150e+02	1.739150e+02	1.739150e+02	1.739150e+02	5.212225e-05	1.195860e-04	YES
1	VOID	1.710127e+02	3.418423e-01	4.372539e+04	1.710127e+02	1.710127e+02	1.710127e+02	1.710127e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.778708e+02	3.097380e-01	4.343544e+04	1.778708e+02	1.778708e+02	1.778708e+02	1.778708e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.731740e+02	3.320000e-01	4.832695e+04	1.731740e+02	1.731740e+02	1.731740e+02	1.731740e+02	3.097134e-05	7.636099e-05	YES
1	VOID	1.717584e+02	3.345531e-01	4.370818e+04	1.717584e+02	1.717584e+02	1.717584e+02	1.717584e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.764164e+02	3.066411e-01	4.386394e+04	1.764164e+02	1.764164e+02	1.764164e+02	1.764164e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.770995e+02	2.926529e-01	4.369338e+04	1.770995e+02	1.770995e+02	1.770995e+02	1.770995e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.741367e+02	2.993376e-01	4.379639e+04	1.741367e+02	1.741367e+02	1.741367e+02	1.741367e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.746603e+02	2.884199e-01	4.338275e+04	1.746603e+02	1.746603e+02	1.746603e+02	1.746603e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.737238e+02	2.823879e-01	4.276523e+04	1.737238e+02	1.737238e+02	1.737238e+02	1.737238e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.703417e+02	2.896026e-01	4.239997e+04	1.703417e+02	1.703417e+02	1.703417e+02	1.703417e+02	0.000000e+00	0.000000e+00	YES
